,d12,d23,d13,node2,angle,latitude,longitude,time
69,110.9286839439456,110.4864332243016,3.2481861285260827,"(39.91175751486325, 116.35565837053846)",1.6654844324443117,39.91175751486325,116.35565837053846,2022-02-07 10:43:16
70,110.4864332243016,221.51659193856992,111.0773580112975,"(39.91268558730978, 116.35612452706577)",1.1858361891993132,39.91268558730978,116.35612452706577,2022-02-07 10:45:02
71,221.51659193856992,18.03747431343261,226.64766820885865,"(39.91081037738757, 116.35524013741313)",104.30293082373475,39.91081037738757,116.35524013741313,2022-02-07 10:46:26
72,18.03747431343261,232.91006291909775,226.49519139411424,"(39.91082639052937, 116.35503021210404)",67.07874035063438,39.91082639052937,116.35503021210404,2022-02-07 10:46:28
73,232.91006291909775,116.45036922947105,116.50468345825868,"(39.912668481841486, 116.35633326187828)",1.126342994562399,39.912668481841486,116.35633326187828,2022-02-07 10:46:32
74,116.45036922947105,162.81532163820586,191.98955776628353,"(39.91175751486325, 116.35565837053846)",85.14468426210824,39.91175751486325,116.35565837053846,2022-02-07 10:56:42
75,162.81532163820586,12.283894303851378,156.2325770433939,"(39.91258933384858, 116.3540901916232)",55.752110481710595,39.91258933384858,116.3540901916232,2022-02-07 10:56:53
76,12.283894303851378,12.801696498462386,14.97268666391473,"(39.91262932862607, 116.35422414211482)",73.25842439604625,39.91262932862607,116.35422414211482,2022-02-07 11:05:23
77,12.801696498462386,202.70013394470902,197.58884314265873,"(39.91272026454238, 116.35413209844971)",64.7980149271039,39.91272026454238,116.35413209844971,2022-02-07 11:05:27
78,202.70013394470902,165.8053557433886,168.69337648246696,"(39.913122599750146, 116.35644450890183)",53.35269716143708,39.913122599750146,116.35644450890183,2022-02-07 11:06:04
79,165.8053557433886,110.4864332243016,55.704440070566974,"(39.91175751486325, 116.35565837053846)",2.769748768801165,39.91175751486325,116.35565837053846,2022-02-07 11:06:06
80,110.4864332243016,55.704440070566974,165.8053557433886,"(39.91268558730978, 116.35612452706577)",171.73031542636448,39.91268558730978,116.35612452706577,2022-02-07 11:07:00
81,55.704440070566974,165.8053557433886,110.4864332243016,"(39.913122599750146, 116.35644450890183)",5.499933266440895,39.913122599750146,116.35644450890183,2022-02-07 11:53:03
82,165.8053557433886,110.9286839439456,54.938883239233974,"(39.91175751486325, 116.35565837053846)",1.1042659715607241,39.91175751486325,116.35565837053846,2022-02-07 11:53:05
83,110.9286839439456,66.50637066921882,44.89681081508284,"(39.91267843349719, 116.35616136304431)",4.343727646488345,39.91267843349719,116.35616136304431,2022-02-07 11:53:23
84,66.50637066921882,44.89681081508284,110.9286839439456,"(39.91214547927992, 116.35580635840283)",169.21444477327114,39.91214547927992,116.35580635840283,2022-02-07 11:57:16
85,44.89681081508284,370.0291937177029,406.38743972930024,"(39.91175751486325, 116.35565837053846)",142.08627291474122,39.91175751486325,116.35565837053846,2022-02-07 11:57:27
86,370.0291937177029,406.38743972930024,44.89681081508284,"(39.9086577265787, 116.35724747973012)",3.8925620083483525,39.9086577265787,116.35724747973012,2022-02-07 11:57:50
87,406.38743972930024,65.85173517747282,457.4164256499261,"(39.91214547927992, 116.35580635840283)",137.9480542478101,39.91214547927992,116.35580635840283,2022-02-07 11:57:52
88,65.85173517747282,55.704440070566974,121.44058535350709,"(39.91268558730978, 116.35612452706577)",174.98474659404278,39.91268558730978,116.35612452706577,2022-02-07 12:49:07
89,55.704440070566974,165.8053557433886,110.4864332243016,"(39.913122599750146, 116.35644450890183)",5.499933266440895,39.913122599750146,116.35644450890183,2022-02-07 12:52:59
90,165.8053557433886,162.81532163820586,209.82695370473556,"(39.91175751486325, 116.35565837053846)",79.35560161180149,39.91175751486325,116.35565837053846,2022-02-07 12:53:01
91,162.81532163820586,191.98955776628353,116.45036922947105,"(39.91258933384858, 116.3540901916232)",37.18343525349868,39.91258933384858,116.3540901916232,2022-02-07 12:53:03
92,191.98955776628353,51.31139601159212,209.82695370473556,"(39.912668481841486, 116.35633326187828)",103.30581177364436,39.912668481841486,116.35633326187828,2022-02-07 14:45:04
93,51.31139601159212,165.8053557433886,116.45036922947105,"(39.913122599750146, 116.35644450890183)",13.233225449979642,39.913122599750146,116.35644450890183,2022-02-07 14:47:36
94,165.8053557433886,193.30645737555525,250.89858017675826,"(39.91175751486325, 116.35565837053846)",88.29371841457869,39.91175751486325,116.35565837053846,2022-02-07 14:47:50
95,193.30645737555525,250.89858017675826,165.8053557433886,"(39.912510355281135, 116.35361986417465)",41.34206984336186,39.912510355281135,116.35361986417465,2022-02-07 14:48:17
96,250.89858017675826,202.70013394470902,49.61268407637028,"(39.913122599750146, 116.35644450890183)",2.988488063920662,39.913122599750146,116.35644450890183,2022-02-07 14:48:28
97,202.70013394470902,179.4517198438144,23.308789629443307,"(39.91272026454238, 116.35413209844971)",0.5036833415382841,39.91272026454238,116.35413209844971,2022-02-07 14:48:30
98,179.4517198438144,227.5929054360667,49.61268407637028,"(39.913062584938785, 116.35618327558015)",3.4007901029645913,39.913062584938785,116.35618327558015,2022-02-07 14:49:03
99,227.5929054360667,215.03728799033217,42.15947482601523,"(39.912510355281135, 116.35361986417465)",10.437939807819273,39.912510355281135,116.35361986417465,2022-02-07 14:50:43
100,215.03728799033217,110.4864332243016,193.30645737555525,"(39.91268558730978, 116.35612452706577)",63.663265577652105,39.91268558730978,116.35612452706577,2022-02-07 14:52:26
101,110.4864332243016,162.81532163820586,174.2689496713215,"(39.91175751486325, 116.35565837053846)",76.58585218724279,39.91175751486325,116.35565837053846,2022-02-07 14:54:00
102,162.81532163820586,191.98955776628353,116.45036922947105,"(39.91258933384858, 116.3540901916232)",37.18343525349868,39.91258933384858,116.3540901916232,2022-02-07 14:55:49
103,191.98955776628353,226.49519139411424,220.64220383751217,"(39.912668481841486, 116.35633326187828)",63.00459316393092,39.912668481841486,116.35633326187828,2022-02-07 15:06:14
104,226.49519139411424,111.0773580112975,116.45036922947105,"(39.91081037738757, 116.35524013741313)",5.591468095587541,39.91081037738757,116.35524013741313,2022-02-07 15:06:24
